Geographic Level,Week_ending,Gender Identity,No Vaccination,Yes Vaccination
National,10/19/2024 12:00:00 AM,Cisgender,77369.52,25515.48
National,10/19/2024 12:00:00 AM,Don't Know/Refused,686.14,223.86
National,10/19/2024 12:00:00 AM,Transgender/Nonbinary,773.9960000000001,307.00399999999996
National,10/21/2023 12:00:00 AM,Cisgender,379844.224,125267.776
National,10/21/2023 12:00:00 AM,Don't Know/Refused,3750.842,1015.158
National,10/21/2023 12:00:00 AM,Transgender/Nonbinary,4250.992,1213.008
National,10/28/2023 12:00:00 AM,Cisgender,367216.424,137895.576
National,10/28/2023 12:00:00 AM,Don't Know/Refused,3727.0119999999997,1038.988
National,10/28/2023 12:00:00 AM,Transgender/Nonbinary,4174.496,1289.5040000000001
National,11/04/2023 12:00:00 AM,Cisgender,342971.048,162140.952
National,11/04/2023 12:00:00 AM,Don't Know/Refused,3517.308,1248.692
National,11/04/2023 12:00:00 AM,Transgender/Nonbinary,4174.496,1289.5040000000001
National,11/11/2023 12:00:00 AM,Cisgender,333373.92,171738.08000000002
National,11/11/2023 12:00:00 AM,Don't Know/Refused,3483.946,1282.0539999999999
National,11/11/2023 12:00:00 AM,Transgender/Nonbinary,4141.7119999999995,1322.288
National,11/18/2023 12:00:00 AM,Cisgender,324281.904,180830.096
National,11/18/2023 12:00:00 AM,Don't Know/Refused,3436.286,1329.714
National,11/18/2023 12:00:00 AM,Transgender/Nonbinary,4103.464,1360.536
National,11/25/2023 12:00:00 AM,Cisgender,319735.89599999995,185376.10400000002
National,11/25/2023 12:00:00 AM,Don't Know/Refused,3426.754,1339.246
National,11/25/2023 12:00:00 AM,Transgender/Nonbinary,4087.072,1376.928
National,12/02/2023 12:00:00 AM,Cisgender,304077.424,201034.57599999997
National,12/02/2023 12:00:00 AM,Don't Know/Refused,3145.56,1620.44
National,12/02/2023 12:00:00 AM,Transgender/Nonbinary,3677.272,1786.728
National,12/09/2023 12:00:00 AM,Cisgender,298521.19200000004,206590.808
National,12/09/2023 12:00:00 AM,Don't Know/Refused,3145.56,1620.44
National,12/09/2023 12:00:00 AM,Transgender/Nonbinary,3671.808,1792.1919999999998
National,12/16/2023 12:00:00 AM,Cisgender,294480.296,210631.70400000003
National,12/16/2023 12:00:00 AM,Don't Know/Refused,3078.8360000000002,1687.164
National,12/16/2023 12:00:00 AM,Transgender/Nonbinary,3578.92,1885.08
National,12/23/2023 12:00:00 AM,Cisgender,289934.288,215177.712
National,12/23/2023 12:00:00 AM,Don't Know/Refused,3078.8360000000002,1687.164
National,12/23/2023 12:00:00 AM,Transgender/Nonbinary,3578.92,1885.08
National,12/30/2023 12:00:00 AM,Cisgender,286903.616,218208.38400000002
National,12/30/2023 12:00:00 AM,Don't Know/Refused,0.0,0.0
National,12/30/2023 12:00:00 AM,Transgender/Nonbinary,3578.92,1885.08
