Geographic Level,Week_ending,Urbanicity,No Vaccination,Yes Vaccination
National,10/07/2023 12:00:00 AM,Urban MSA Principal City,151508.775,32138.225
National,10/12/2024 12:00:00 AM,Rural (Non-MSA),17422.29,3772.7100000000005
National,10/12/2024 12:00:00 AM,Suburban (MSA Non-Principal City),39392.43,11766.57
National,10/12/2024 12:00:00 AM,Urban MSA Principal City,26135.424,7200.576000000001
National,10/14/2023 12:00:00 AM,Rural (Non-MSA),79726.346,16794.654
National,10/14/2023 12:00:00 AM,Suburban (MSA Non-Principal City),185992.56,52459.44
National,10/14/2023 12:00:00 AM,Urban MSA Principal City,145264.777,38382.223
National,10/19/2024 12:00:00 AM,Rural (Non-MSA),17083.17,4111.83
National,10/19/2024 12:00:00 AM,Suburban (MSA Non-Principal City),37806.501000000004,13352.499
National,10/19/2024 12:00:00 AM,Urban MSA Principal City,25268.688000000002,8067.312
National,10/21/2023 12:00:00 AM,Rural (Non-MSA),76830.716,19690.284
National,10/21/2023 12:00:00 AM,Suburban (MSA Non-Principal City),175977.576,62474.424
National,10/21/2023 12:00:00 AM,Urban MSA Principal City,139755.367,43891.633
National,10/28/2023 12:00:00 AM,Rural (Non-MSA),74417.691,22103.308999999997
National,10/28/2023 12:00:00 AM,Suburban (MSA Non-Principal City),170016.276,68435.72399999999
National,10/28/2023 12:00:00 AM,Urban MSA Principal City,135347.839,48299.161
National,11/04/2023 12:00:00 AM,Rural (Non-MSA),69881.204,26639.796000000002
National,11/04/2023 12:00:00 AM,Suburban (MSA Non-Principal City),159285.936,79166.064
National,11/04/2023 12:00:00 AM,Urban MSA Principal City,125798.195,57848.805
National,11/11/2023 12:00:00 AM,Rural (Non-MSA),69012.515,27508.484999999997
National,11/11/2023 12:00:00 AM,Suburban (MSA Non-Principal City),154993.8,83458.2
National,11/11/2023 12:00:00 AM,Urban MSA Principal City,122125.255,61521.745
National,11/18/2023 12:00:00 AM,Rural (Non-MSA),66985.574,29535.426
National,11/18/2023 12:00:00 AM,Suburban (MSA Non-Principal City),150940.11599999998,87511.884
National,11/18/2023 12:00:00 AM,Urban MSA Principal City,118635.962,65011.03799999999
National,11/25/2023 12:00:00 AM,Rural (Non-MSA),66696.011,29824.989
National,11/25/2023 12:00:00 AM,Suburban (MSA Non-Principal City),149032.5,89419.5
National,11/25/2023 12:00:00 AM,Urban MSA Principal City,116983.139,66663.861
National,12/02/2023 12:00:00 AM,Rural (Non-MSA),62449.087,34071.913
National,12/02/2023 12:00:00 AM,Suburban (MSA Non-Principal City),141640.488,96811.512
National,12/02/2023 12:00:00 AM,Urban MSA Principal City,110922.788,72724.212
National,12/09/2023 12:00:00 AM,Rural (Non-MSA),61869.961,34651.039
National,12/09/2023 12:00:00 AM,Suburban (MSA Non-Principal City),139494.41999999998,98957.58
National,12/09/2023 12:00:00 AM,Urban MSA Principal City,108351.73000000001,75295.26999999999
National,12/16/2023 12:00:00 AM,Rural (Non-MSA),61676.919,34844.081
National,12/16/2023 12:00:00 AM,Suburban (MSA Non-Principal City),138779.064,99672.936
National,12/16/2023 12:00:00 AM,Urban MSA Principal City,104678.79000000001,78968.20999999999
National,12/23/2023 12:00:00 AM,Rural (Non-MSA),59939.541,36581.459
National,12/23/2023 12:00:00 AM,Suburban (MSA Non-Principal City),137109.90000000002,101342.09999999999
National,12/23/2023 12:00:00 AM,Urban MSA Principal City,104127.849,79519.151
National,12/30/2023 12:00:00 AM,Rural (Non-MSA),59939.541,36581.459
National,12/30/2023 12:00:00 AM,Suburban (MSA Non-Principal City),135440.73599999998,103011.26400000001
National,12/30/2023 12:00:00 AM,Urban MSA Principal City,103944.202,79702.798
