Geographic Level,Week_ending,Sexual Orientation,No Vaccination,Yes Vaccination
National,10/12/2024 12:00:00 AM,Straight,70167.82,20022.18
National,10/14/2023 12:00:00 AM,Don't Know/Refused,24836.232,5939.768
National,10/14/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,31779.322,6834.678
National,10/14/2023 12:00:00 AM,Straight,349567.044,94045.95599999999
National,10/19/2024 12:00:00 AM,Don't Know/Refused,4962.036,1334.964
National,10/19/2024 12:00:00 AM,Gay/Lesbian/Bisexual/Other,6051.4580000000005,1942.542
National,10/19/2024 12:00:00 AM,Straight,67642.5,22547.5
National,10/21/2023 12:00:00 AM,Don't Know/Refused,23358.984,7417.0160000000005
National,10/21/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,29578.324,9035.676
National,10/21/2023 12:00:00 AM,Straight,334484.202,109128.79800000001
National,10/28/2023 12:00:00 AM,Don't Know/Refused,23051.224000000002,7724.776
National,10/28/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,28690.201999999997,9923.798
National,10/28/2023 12:00:00 AM,Straight,322950.26399999997,120662.736
National,11/04/2023 12:00:00 AM,Don't Know/Refused,22374.152000000002,8401.848
National,11/04/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,27261.484,11352.516
National,11/04/2023 12:00:00 AM,Straight,299438.775,144174.225
National,11/11/2023 12:00:00 AM,Don't Know/Refused,21727.856,9048.144
National,11/11/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,26798.116,11815.884
National,11/11/2023 12:00:00 AM,Straight,290566.515,153046.485
National,11/18/2023 12:00:00 AM,Don't Know/Refused,21727.856,9048.144
National,11/18/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,25794.152000000002,12819.848
National,11/18/2023 12:00:00 AM,Straight,283025.094,160587.90600000002
National,11/25/2023 12:00:00 AM,Don't Know/Refused,21697.08,9078.92
National,11/25/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,25755.538,12858.461999999998
National,11/25/2023 12:00:00 AM,Straight,278588.964,165024.03600000002
National,12/02/2023 12:00:00 AM,Don't Know/Refused,19881.296000000002,10894.704
National,12/02/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,23593.154,15020.846000000001
National,12/02/2023 12:00:00 AM,Straight,265724.187,177888.81300000002
National,12/09/2023 12:00:00 AM,Don't Know/Refused,19635.087999999996,11140.912000000002
National,12/09/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,23554.54,15059.460000000001
National,12/09/2023 12:00:00 AM,Straight,260400.831,183212.169
National,12/16/2023 12:00:00 AM,Don't Know/Refused,19635.087999999996,11140.912000000002
National,12/16/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,23554.54,15059.460000000001
National,12/16/2023 12:00:00 AM,Straight,256408.31399999998,187204.68600000002
National,12/23/2023 12:00:00 AM,Don't Know/Refused,19635.087999999996,11140.912000000002
National,12/23/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,23438.698000000004,15175.301999999998
National,12/23/2023 12:00:00 AM,Straight,253303.02300000002,190309.97699999998
National,12/30/2023 12:00:00 AM,Don't Know/Refused,19419.656000000003,11356.344
National,12/30/2023 12:00:00 AM,Gay/Lesbian/Bisexual/Other,23052.558,15561.442
National,12/30/2023 12:00:00 AM,Straight,250641.345,192971.655
